Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
07/11/2025,ZELLIDJA S.A,ZDJ,-,214.0,-,-,-,-,-,122589686.0
05/11/2025,ZELLIDJA S.A,ZDJ,-,214.0,-,-,-,-,-,122589686.0
04/11/2025,ZELLIDJA S.A,ZDJ,214.0,214.0,214.0,214.0,27,5778.0,3,122589686.0
03/11/2025,ZELLIDJA S.A,ZDJ,220.0,220.0,220.0,220.0,58,12760.0,2,126026780.0
31/10/2025,ZELLIDJA S.A,ZDJ,214.0,214.0,214.0,214.0,8,1712.0,2,122589686.0
30/10/2025,ZELLIDJA S.A,ZDJ,216.25,216.25,216.25,216.25,2,432.5,2,123878596.25
12/01/2026,ZELLIDJA S.A,ZDJ,248.0,248.0,248.0,248.0,35,8680.0,7,142066552.0
09/01/2026,ZELLIDJA S.A,ZDJ,243.75,243.75,243.75,243.75,55,13406.25,5,139631943.75
08/01/2026,ZELLIDJA S.A,ZDJ,243.0,243.0,243.0,243.0,95,23085.0,11,139202307.0
07/01/2026,ZELLIDJA S.A,ZDJ,243.75,243.75,243.75,243.75,14,3412.5,3,139631943.75
06/01/2026,ZELLIDJA S.A,ZDJ,230.0,230.0,230.0,230.0,135,31050.0,14,131755270.0
05/01/2026,ZELLIDJA S.A,ZDJ,229.2,229.2,229.2,229.2,13,2979.6,7,131296990.8
02/01/2026,ZELLIDJA S.A,ZDJ,216.25,216.25,216.25,216.25,4,865.0,2,123878596.25
31/12/2025,ZELLIDJA S.A,ZDJ,204.05,204.05,204.05,204.05,23,4693.15,3,116889838.45
30/12/2025,ZELLIDJA S.A,ZDJ,217.0,217.0,217.0,217.0,16,3472.0,4,124308233.0
29/12/2025,ZELLIDJA S.A,ZDJ,217.0,217.0,217.0,217.0,36,7812.0,3,124308233.0
26/12/2025,ZELLIDJA S.A,ZDJ,217.2,217.2,217.2,217.2,25,5430.0,4,124422802.8
25/12/2025,ZELLIDJA S.A,ZDJ,204.95,204.95,204.95,204.95,1,204.95,1,117405402.55
24/12/2025,ZELLIDJA S.A,ZDJ,193.35,193.35,193.35,193.35,7,1353.45,2,110760354.15
23/12/2025,ZELLIDJA S.A,ZDJ,201.2,201.2,201.2,201.2,11,2213.2,4,115257218.8
22/12/2025,ZELLIDJA S.A,ZDJ,-,214.0,-,-,-,-,-,122589686.0
19/12/2025,ZELLIDJA S.A,ZDJ,-,214.0,-,-,-,-,-,122589686.0
18/12/2025,ZELLIDJA S.A,ZDJ,-,214.0,-,-,-,-,-,122589686.0
17/12/2025,ZELLIDJA S.A,ZDJ,-,214.0,-,-,-,-,-,122589686.0
16/12/2025,ZELLIDJA S.A,ZDJ,-,214.0,-,-,-,-,-,122589686.0
15/12/2025,ZELLIDJA S.A,ZDJ,214.0,214.0,214.0,214.0,9,1926.0,4,122589686.0
12/12/2025,ZELLIDJA S.A,ZDJ,-,214.1,-,-,-,-,-,122646970.9
11/12/2025,ZELLIDJA S.A,ZDJ,-,214.1,-,-,-,-,-,122646970.9
10/12/2025,ZELLIDJA S.A,ZDJ,214.1,214.1,214.1,214.1,1,214.1,1,122646970.9
09/12/2025,ZELLIDJA S.A,ZDJ,-,202.0,-,-,-,-,-,115715498.0
08/12/2025,ZELLIDJA S.A,ZDJ,-,202.0,-,-,-,-,-,115715498.0
05/12/2025,ZELLIDJA S.A,ZDJ,-,202.0,-,-,-,-,-,115715498.0
04/12/2025,ZELLIDJA S.A,ZDJ,-,202.0,-,-,-,-,-,115715498.0
03/12/2025,ZELLIDJA S.A,ZDJ,202.0,202.0,202.0,202.0,19,3838.0,2,115715498.0
02/12/2025,ZELLIDJA S.A,ZDJ,204.7,204.7,204.7,204.7,2,409.4,1,117262190.3
01/12/2025,ZELLIDJA S.A,ZDJ,202.75,202.75,202.75,202.75,14,2838.5,2,116145134.75
28/11/2025,ZELLIDJA S.A,ZDJ,215.65,215.65,215.65,215.65,1,215.65,1,123534886.85
27/11/2025,ZELLIDJA S.A,ZDJ,229.4,229.4,229.4,229.4,1,229.4,1,131411560.6
26/11/2025,ZELLIDJA S.A,ZDJ,-,244.0,-,-,-,-,-,139775156.0
25/11/2025,ZELLIDJA S.A,ZDJ,-,244.0,-,-,-,-,-,139775156.0
24/11/2025,ZELLIDJA S.A,ZDJ,-,244.0,-,-,-,-,-,139775156.0
21/11/2025,ZELLIDJA S.A,ZDJ,244.0,244.0,244.0,244.0,8,1952.0,3,139775156.0
20/11/2025,ZELLIDJA S.A,ZDJ,-,249.05,-,-,-,-,-,142668043.45
19/11/2025,ZELLIDJA S.A,ZDJ,-,249.05,-,-,-,-,-,142668043.45
17/11/2025,ZELLIDJA S.A,ZDJ,249.05,249.05,249.05,249.05,5,1245.25,4,142668043.45
14/11/2025,ZELLIDJA S.A,ZDJ,235.0,235.0,235.0,235.0,34,7990.0,2,134619515.0
13/11/2025,ZELLIDJA S.A,ZDJ,235.0,235.0,235.0,235.0,17,3995.0,2,134619515.0
12/11/2025,ZELLIDJA S.A,ZDJ,235.0,235.0,235.0,235.0,77,18095.0,2,134619515.0
11/11/2025,ZELLIDJA S.A,ZDJ,226.8,226.8,226.8,226.8,16,3628.8,3,129922153.2
10/11/2025,ZELLIDJA S.A,ZDJ,-,214.0,-,-,-,-,-,122589686.0
07/11/2025,ZELLIDJA S.A,ZDJ,-,214.0,-,-,-,-,-,122589686.0
05/11/2025,ZELLIDJA S.A,ZDJ,-,214.0,-,-,-,-,-,122589686.0
04/11/2025,ZELLIDJA S.A,ZDJ,214.0,214.0,214.0,214.0,27,5778.0,3,122589686.0
03/11/2025,ZELLIDJA S.A,ZDJ,220.0,220.0,220.0,220.0,58,12760.0,2,126026780.0
31/10/2025,ZELLIDJA S.A,ZDJ,214.0,214.0,214.0,214.0,8,1712.0,2,122589686.0
30/10/2025,ZELLIDJA S.A,ZDJ,216.25,216.25,216.25,216.25,2,432.5,2,123878596.25
15/08/2025,ZELLIDJA S.A,ZDJ,277.0,277.0,277.0,277.0,33,9141.0,2,158679173.0
13/08/2025,ZELLIDJA S.A,ZDJ,-,277.35,-,-,-,-,-,158879670.15
12/08/2025,ZELLIDJA S.A,ZDJ,277.35,277.35,277.35,277.35,15,4160.25,2,158879670.15
11/08/2025,ZELLIDJA S.A,ZDJ,295.0,295.0,295.0,295.0,100,29500.0,2,168990455.0
08/08/2025,ZELLIDJA S.A,ZDJ,295.0,295.0,295.0,295.0,1,295.0,1,168990455.0
07/08/2025,ZELLIDJA S.A,ZDJ,295.0,295.0,295.0,295.0,60,17700.0,3,168990455.0
06/08/2025,ZELLIDJA S.A,ZDJ,295.0,295.0,295.0,295.0,8,2360.0,2,168990455.0
05/08/2025,ZELLIDJA S.A,ZDJ,295.0,295.0,295.0,295.0,19,5605.0,5,168990455.0
04/08/2025,ZELLIDJA S.A,ZDJ,291.45,291.45,291.45,291.45,49,14281.05,6,166956841.05
01/08/2025,ZELLIDJA S.A,ZDJ,275.0,275.0,275.0,275.0,121,33275.0,6,157533475.0
31/07/2025,ZELLIDJA S.A,ZDJ,259.65,259.65,259.65,259.65,71,18435.15,6,148740242.85
29/07/2025,ZELLIDJA S.A,ZDJ,276.2,276.2,276.2,276.2,26,7181.2,3,158220893.8
28/07/2025,ZELLIDJA S.A,ZDJ,293.8,293.8,293.8,293.8,75,22035.0,4,168303036.2
25/07/2025,ZELLIDJA S.A,ZDJ,293.85,293.85,293.85,293.85,10,2938.5,1,168331678.65
24/07/2025,ZELLIDJA S.A,ZDJ,-,294.0,-,-,-,-,-,168417606.0
23/07/2025,ZELLIDJA S.A,ZDJ,294.0,294.0,294.0,294.0,20,5880.0,2,168417606.0
22/07/2025,ZELLIDJA S.A,ZDJ,294.8,294.8,294.8,294.8,32,9433.6,4,168875885.2
21/07/2025,ZELLIDJA S.A,ZDJ,294.9,294.9,294.9,294.9,1,294.9,1,168933170.1
18/07/2025,ZELLIDJA S.A,ZDJ,295.2,295.2,295.2,295.2,20,5904.0,4,169105024.8
17/07/2025,ZELLIDJA S.A,ZDJ,-,314.0,-,-,-,-,-,179874586.0
16/07/2025,ZELLIDJA S.A,ZDJ,314.0,314.0,314.0,314.0,70,21980.0,5,179874586.0
15/07/2025,ZELLIDJA S.A,ZDJ,314.95,314.95,314.95,314.95,56,17637.2,5,180418792.55
14/07/2025,ZELLIDJA S.A,ZDJ,314.6,314.6,314.6,314.6,201,63234.6,10,180218295.4
11/07/2025,ZELLIDJA S.A,ZDJ,297.6,297.6,297.6,297.6,7,2083.2,3,170479862.4
10/07/2025,ZELLIDJA S.A,ZDJ,280.8,280.8,280.8,280.8,8,2246.4,3,160855999.2
09/07/2025,ZELLIDJA S.A,ZDJ,264.95,264.95,264.95,264.95,51,13512.45,5,151776342.55
08/07/2025,ZELLIDJA S.A,ZDJ,250.0,250.0,250.0,250.0,29,7250.0,6,143212250.0
